time_id,drive_torque,steer_angle
524,0.428,0.312
525,0.535,0.212
526,0.406,-0.302
527,0.367,-0.457
528,0.357,-0.495
529,0.355,-0.504
530,0.106,0.216
531,0.313,0.308
532,0.339,0.355
533,0.389,0.343
534,0.391,0.342
535,0.421,0.323
536,0.371,-0.269
537,0.357,-0.441
538,0.356,-0.448
539,0.352,-0.501
540,0.106,0.086
541,0.035,0.288
542,0.032,0.296
543,0.01,0.371
544,0.333,0.306
545,0.43,0.286
546,0.431,0.286
547,0.491,0.248
548,0.392,0.441
549,0.364,-0.207
550,0.363,-0.234
551,0.354,-0.437
552,0.106,-0.498
553,0.032,-0.516
554,0.01,-0.492
555,0.238,0.114
556,0.248,0.139
557,0.319,0.31
558,0.341,0.355
559,0.112,-0.177
560,0.102,-0.199
561,0.455,-0.16
562,0.537,0.077
563,0.411,-0.243
564,0.406,-0.256
565,0.367,0.108
566,0.355,0.325
567,0.422,0.307
568,0.372,0.295
569,0.356,0.273
570,0.489,0.22
571,0.495,0.218
572,0.441,0.298
573,0.377,0.45
574,0.578,0.196
575,0.566,0.19
576,0.415,0.367
577,0.369,0.476
578,0.357,0.346
579,0.356,0.341
580,0.107,-0.264
581,0.032,-0.446
582,0.01,-0.501
583,0.248,-0.517
584,0.318,-0.522
585,0.319,-0.522
586,0.341,-0.523
587,0.335,-0.448
588,0.346,0.232
589,0.349,0.437
590,0.35,0.496
591,0.35,0.498
592,0.105,0.516
593,0.031,-0.211
594,0.285,-0.298
595,0.296,-0.302
596,0.377,-0.327
597,0.506,-0.23
598,0.56,-0.185
599,0.562,-0.183
600,0.536,0.103
601,0.406,0.398
602,0.369,0.482
603,0.367,0.486
604,0.355,0.513
605,0.107,0.507
606,0.035,0.515
607,0.032,0.515
608,0.01,0.487
609,0.248,0.513
610,0.319,0.521
611,0.549,0.228
612,0.479,0.28
613,0.406,0.417
614,0.388,0.451
615,0.361,0.499
616,0.353,0.517
617,0.116,0.522
618,0.047,0.523
619,0.032,0.523
620,0.01,0.524
621,0.248,0.524
622,0.319,0.524
623,0.34,0.524
624,0.341,0.524
625,0.102,0.524
626,0.031,0.524
627,0.009,0.524
628,0.248,0.524
629,0.316,0.496
630,0.319,0.495
631,0.341,0.515
632,0.102,0.521
633,0.031,0.523
634,0.009,0.524
635,0.246,0.524
636,0.248,0.524
637,0.319,0.524
638,0.341,0.524
639,0.102,0.524
640,0.031,0.524
641,0.009,0.524
642,0.2,0.524
643,0.248,0.524
644,0.319,0.524
645,0.341,0.524
646,0.102,0.406
647,0.034,0.486
648,0.031,0.489
649,0.009,0.38
650,0.248,0.481
651,0.316,0.505
652,0.319,0.506
653,0.341,0.519
654,0.102,0.472
655,0.034,0.477
656,0.031,0.477
657,0.009,0.51
658,0.179,0.483
659,0.212,0.444
660,0.213,0.442
661,0.207,0.4
662,0.191,0.361
663,0.174,0.326
664,0.173,0.325
665,0.156,0.292
666,0.141,0.263
667,0.287,0.446
668,0.322,0.49
669,0.331,0.501
670,0.344,0.517
671,0.103,0.522
672,0.031,0.523
673,0.01,0.524
674,0.009,0.524
675,0.248,0.524
676,0.319,0.524
677,0.34,0.524
678,0.341,0.524
679,0.102,0.524
680,0.031,0.524
681,0.009,0.524
682,0.248,0.524
683,0.316,0.49
684,0.319,0.489
685,0.341,0.513
686,0.102,0.419
687,0.319,0.362
688,0.423,0.305
689,0.48,0.26
690,0.494,0.249
691,0.559,0.188
692,0.414,0.412
693,0.378,0.459
694,0.369,0.47
695,0.619,0.158
696,0.433,-0.001
697,0.431,-0.002
698,0.374,-0.367
699,0.289,-0.44
700,0.405,-0.338
701,0.406,-0.337
702,0.583,-0.165
703,0.42,0.248
704,0.371,0.382
705,0.356,0.415
706,0.117,0.382
707,0.107,0.381
708,0.032,0.331
709,0.362,-0.073
710,0.447,-0.208
711,0.484,-0.238
712,0.504,-0.237
713,0.504,-0.237
714,0.536,-0.211
715,0.406,0.173
716,0.367,0.292
717,0.367,0.293
718,0.355,0.325
719,0.107,0.29
720,0.032,0.249
721,0.355,-0.105
722,0.43,-0.23
723,0.467,-0.254
724,0.469,-0.255
725,0.489,-0.253
726,0.392,0.134
727,0.363,0.251
728,0.354,0.268
729,0.108,0.274
730,0.047,0.252
731,0.032,0.247
732,0.321,-0.139
733,0.391,-0.272
734,0.452,-0.272
735,0.476,-0.266
736,0.406,0.015
737,0.388,0.085
738,0.361,0.205
739,0.353,0.25
740,0.106,0.224
741,0.033,0.217
742,0.269,-0.069
743,0.328,-0.141
744,0.416,-0.249
745,0.443,-0.281
746,0.47,-0.272
747,0.389,0.039
748,0.386,0.052
749,0.361,0.171
750,0.353,0.229
751,0.116,0.25
752,0.106,0.251
753,0.032,0.213
754,0.01,0.172
755,0.311,-0.165
756,0.366,-0.301
757,0.37,-0.352
758,0.37,-0.354
759,0.356,-0.032
760,0.352,0.146
761,0.351,0.211
762,0.351,0.214
763,0.487,0.207
764,0.391,0.169
765,0.362,0.163
766,0.417,-0.09
767,0.431,-0.153
768,0.374,-0.326
769,0.354,-0.38
770,0.351,-0.016
771,0.35,0.12
772,0.35,0.126
773,0.35,0.189
774,0.105,0.152
775,0.033,0.122
776,0.032,0.122
777,0.009,0.13
778,0.248,0.115
779,0.378,-0.187
780,0.405,-0.289
781,0.368,-0.041
782,0.366,-0.031
783,0.355,0.087
784,0.351,0.1
785,0.115,0.084
786,0.105,0.083
787,0.032,0.034
788,0.009,0.084
789,0.238,0.096
790,0.248,0.097
791,0.319,0.082
792,0.341,0.069
793,0.112,0.062
794,0.102,0.062
795,0.031,0.071
796,0.271,-0.241
797,0.324,-0.36
798,0.326,-0.365
799,0.343,-0.111
800,0.348,0.021
801,0.348,0.022
802,0.582,0.054
803,0.659,0.057
804,0.696,-0.009
805,0.722,-0.014
806,0.723,-0.014
807,0.73,-0.016
808,0.705,-0.044
809,0.705,-0.044
810,0.679,-0.071
811,0.654,-0.096
812,0.589,0.103
813,0.588,0.105
814,0.502,0.231
815,0.447,0.297
816,0.479,0.269
817,0.489,0.26
818,0.489,0.26
819,0.427,0.322
820,0.373,0.462
821,0.373,0.463
822,0.357,0.506
823,0.352,0.519
824,0.106,0.522
825,0.047,0.523
826,0.032,0.524
827,0.01,0.524
828,0.248,0.524
829,0.305,0.524
830,0.319,0.524
831,0.341,0.45
832,0.102,0.39
833,0.034,0.42
834,0.013,0.479
835,0.009,0.493
836,0.248,0.362
837,0.319,0.434
838,0.341,0.497
839,0.102,0.516
840,0.034,0.522
841,0.031,0.522
842,0.009,0.495
843,0.248,0.515
844,0.251,0.485
845,0.237,0.451
846,0.234,0.443
847,0.315,0.5
848,0.34,0.517
849,0.102,0.522
850,0.034,0.523
851,0.031,0.523
852,0.009,0.524
853,0.248,0.524
854,0.318,0.524
855,0.319,0.524
856,0.341,0.524
857,0.102,0.524
858,0.031,0.524
859,0.009,0.524
860,0.238,0.524
861,0.248,0.524
862,0.319,0.524
863,0.341,0.524
864,0.102,0.524
865,0.031,0.524
866,0.013,0.524
867,0.009,0.524
868,0.248,0.524
869,0.318,0.524
870,0.34,0.524
871,0.341,0.524
872,0.102,0.524
873,0.031,0.524
874,0.009,0.524
875,0.246,0.524
876,0.251,0.488
877,0.251,0.487
878,0.32,0.513
879,0.272,0.484
880,0.327,0.512
881,0.098,0.52
882,0.032,0.523
883,0.013,0.523
884,0.009,0.524
885,0.179,0.487
886,0.212,0.443
887,0.207,0.4
888,0.191,0.361
889,0.28,0.452
890,0.302,0.475
891,0.336,0.509
892,0.346,0.52
893,0.104,0.523
894,0.034,0.524
895,0.031,0.524
896,0.009,0.524
897,0.248,0.47
898,0.383,0.356
899,0.389,0.351
900,0.473,0.273
901,0.388,-0.226
902,0.362,0.277
903,0.361,0.298
904,0.353,0.384
905,0.106,-0.252
906,0.106,-0.252
907,0.014,0.421
908,0.01,0.454
909,0.248,0.349
910,0.319,0.46
911,0.34,0.386
912,0.341,0.383
913,0.102,0.402
914,0.031,0.487
915,0.01,0.016
916,0.009,-0.004
917,0.51,0.017
918,0.0,0.0
