time_id,drive_torque,steer_angle
482,-0.26,0.464
483,0.004,0.524
484,0.143,-0.524
485,0.536,-0.524
486,0.634,-0.263
487,0.179,-0.515
488,0.307,-0.523
489,0.207,-0.524
490,0.096,-0.524
491,0.175,0.524
492,0.817,0.524
493,0.888,0.096
494,-0.126,0.524
495,0.339,0.524
496,0.434,0.486
497,0.636,-0.392
498,1.0,-0.193
499,0.917,-0.054
500,-0.014,-0.258
501,0.314,-0.369
502,0.395,0.396
503,0.526,0.379
504,1.0,0.25
505,1.0,0.079
506,1.0,0.049
507,1.0,0.021
508,1.0,0.063
509,0.742,0.015
510,0.599,0.142
511,0.534,0.056
512,-0.277,0.495
513,0.017,0.524
514,0.199,-0.524
515,0.424,-0.524
516,0.809,-0.439
517,1.0,-0.147
518,0.472,-0.128
519,-0.036,-0.418
520,0.217,-0.524
521,0.413,-0.524
522,0.844,0.373
523,1.0,0.124
524,0.711,0.086
525,0.074,0.25
526,0.369,0.337
527,0.519,-0.333
528,0.923,-0.252
529,0.734,-0.023
530,-0.196,-0.47
531,0.222,-0.524
532,0.521,0.524
533,1.0,0.258
534,0.838,0.1
535,0.071,0.285
536,0.31,0.385
537,0.385,0.433
538,0.629,-0.375
539,1.0,-0.189
540,0.591,-0.053
541,-0.313,-0.524
542,0.003,-0.524
543,0.379,0.524
544,0.619,0.432
545,0.593,0.352
546,1.0,0.225
547,1.0,0.032
548,0.415,0.112
549,0.184,0.221
550,0.153,0.401
551,0.166,-0.524
552,0.274,-0.524
553,0.303,-0.524
554,0.081,-0.524
555,0.128,-0.524
556,0.837,-0.524
557,1.0,0.008
558,0.429,0.2
559,0.549,0.185
560,0.436,0.259
561,0.976,0.243
562,1.0,-0.012
563,0.352,-0.151
564,0.466,-0.183
565,0.322,0.254
566,0.281,0.386
567,0.406,0.427
568,0.503,0.349
569,0.475,0.315
570,0.447,0.329
571,0.485,0.316
572,0.483,0.296
573,0.439,0.308
574,0.426,0.329
575,0.457,0.337
576,0.541,0.31
577,0.708,0.249
578,0.992,0.164
579,0.612,0.021
580,-0.286,0.465
581,-0.045,0.524
582,0.12,-0.524
583,0.442,-0.524
584,0.79,-0.38
585,0.572,-0.202
586,0.16,-0.416
587,0.259,-0.511
588,0.247,-0.524
589,0.286,-0.524
590,0.437,0.524
591,0.755,0.357
592,0.52,0.164
593,-0.142,0.524
594,0.236,0.524
595,0.702,-0.524
596,1.0,-0.165
597,1.0,-0.01
598,0.581,-0.087
599,0.227,-0.187
600,0.313,-0.272
601,0.271,0.378
602,0.247,0.5
603,0.252,0.524
604,0.264,0.524
605,0.241,0.524
606,0.175,0.524
607,0.14,0.524
608,0.041,0.524
609,-0.009,0.524
610,0.185,0.524
611,0.169,0.524
612,0.083,0.524
613,0.203,0.524
614,0.153,0.524
615,0.142,0.524
616,0.107,0.524
617,-0.034,0.524
618,0.08,0.524
619,0.235,0.524
620,0.34,0.524
621,0.355,0.524
622,0.475,0.524
623,0.448,0.377
624,0.235,0.466
625,0.155,0.524
626,0.19,0.524
627,0.273,0.524
628,0.43,0.524
629,0.525,0.412
630,0.407,0.356
631,0.249,0.453
632,0.16,0.524
633,0.098,0.524
634,0.147,0.524
635,0.358,0.524
636,0.531,0.522
637,0.479,0.374
638,0.357,0.39
639,0.245,0.463
640,0.108,0.524
641,0.132,0.524
642,0.38,0.524
643,0.491,0.485
644,0.439,0.44
645,0.497,0.364
646,0.442,0.317
647,0.229,0.391
648,0.093,0.524
649,0.215,0.524
650,0.341,0.524
651,0.347,0.524
652,0.411,0.524
653,0.442,0.416
654,0.309,0.426
655,0.159,0.524
656,0.088,0.524
657,0.315,0.524
658,0.707,0.42
659,0.52,0.259
660,0.358,0.41
661,0.619,0.296
662,0.577,0.231
663,0.388,0.265
664,0.234,0.372
665,0.169,0.524
666,0.224,0.524
667,0.286,0.524
668,0.339,0.524
669,0.365,0.524
670,0.329,0.519
671,0.219,0.524
672,0.096,0.524
673,0.104,0.524
674,0.269,0.524
675,0.44,0.524
676,0.497,0.463
677,0.416,0.378
678,0.279,0.455
679,0.242,0.524
680,0.242,0.524
681,0.29,0.524
682,0.429,0.524
683,0.475,0.405
684,0.393,0.398
685,0.417,0.417
686,0.53,0.352
687,0.635,0.275
688,0.663,0.208
689,0.518,0.206
690,0.397,0.265
691,0.418,0.309
692,0.465,0.319
693,0.596,0.299
694,1.0,0.202
695,0.998,0.007
696,0.107,0.204
697,0.308,0.301
698,0.336,-0.385
699,0.588,-0.408
700,0.967,-0.185
701,0.652,-0.124
702,0.187,-0.281
703,0.361,-0.342
704,0.352,0.387
705,0.375,0.434
706,0.886,0.393
707,0.892,0.061
708,-0.163,0.423
709,0.305,0.524
710,0.578,0.431
711,0.874,-0.25
712,1.0,-0.127
713,1.0,-0.003
714,0.504,-0.102
715,0.272,-0.189
716,0.298,-0.291
717,0.356,0.377
718,0.734,0.368
719,0.817,0.128
720,0.09,0.29
721,0.229,0.524
722,0.698,0.442
723,1.0,-0.155
724,1.0,-0.029
725,0.385,-0.127
726,0.345,-0.204
727,0.353,-0.281
728,0.426,0.344
729,0.871,0.292
730,0.739,0.057
731,-0.185,0.508
732,0.343,0.524
733,1.0,-0.396
734,1.0,-0.081
735,0.759,-0.067
736,0.301,-0.147
737,0.361,-0.224
738,0.41,-0.286
739,0.633,0.298
740,0.829,0.166
741,0.375,0.165
742,0.031,0.499
743,0.41,0.524
744,0.968,-0.329
745,1.0,-0.095
746,1.0,-0.013
747,0.54,-0.094
748,0.266,-0.19
749,0.4,-0.259
750,0.449,0.285
751,0.449,0.301
752,0.695,0.313
753,0.494,0.122
754,-0.28,0.524
755,0.414,0.524
756,1.0,-0.339
757,1.0,-0.038
758,0.353,-0.125
759,0.278,-0.233
760,0.419,-0.303
761,0.56,0.282
762,0.708,0.232
763,1.0,0.163
764,1.0,0.03
765,0.4,0.112
766,0.237,0.232
767,0.456,0.302
768,0.902,-0.246
769,1.0,-0.097
770,0.742,-0.062
771,0.147,-0.199
772,0.455,-0.266
773,0.649,0.239
774,0.708,0.181
775,0.772,0.182
776,0.458,0.054
777,-0.177,0.524
778,0.593,0.524
779,1.0,-0.209
780,1.0,-0.022
781,0.842,-0.047
782,0.572,-0.109
783,0.695,-0.141
784,0.987,-0.116
785,0.962,0.088
786,0.679,0.106
787,0.66,0.129
788,0.698,0.135
789,0.954,0.144
790,1.0,0.074
791,1.0,0.044
792,1.0,0.049
793,0.54,0.007
794,-0.146,0.277
795,0.103,0.524
796,0.431,-0.524
797,1.0,-0.318
798,1.0,-0.006
799,0.482,-0.13
800,0.816,-0.146
801,1.0,-0.098
802,1.0,-0.038
803,1.0,0.003
804,1.0,0.008
805,1.0,0.014
806,1.0,0.021
807,1.0,-0.029
808,1.0,-0.04
809,1.0,-0.041
810,1.0,-0.015
811,0.928,-0.029
812,0.608,-0.089
813,0.303,0.167
814,0.372,0.243
815,0.403,0.293
816,0.4,0.328
817,0.38,0.359
818,0.342,0.399
819,0.298,0.463
820,0.277,0.524
821,0.282,0.524
822,0.287,0.524
823,0.268,0.524
824,0.217,0.524
825,0.149,0.524
826,0.168,0.524
827,0.377,0.524
828,0.561,0.468
829,0.556,0.347
830,0.519,0.279
831,0.363,0.313
832,0.266,0.421
833,0.212,0.524
834,0.158,0.524
835,0.266,0.524
836,0.414,0.524
837,0.387,0.505
838,0.371,0.486
839,0.314,0.461
840,0.143,0.524
841,0.141,0.524
842,0.539,0.524
843,0.679,0.246
844,0.228,0.399
845,0.296,0.506
846,0.347,0.495
847,0.33,0.507
848,0.317,0.524
849,0.267,0.524
850,0.174,0.524
851,0.173,0.524
852,0.28,0.524
853,0.351,0.524
854,0.389,0.524
855,0.415,0.473
856,0.35,0.444
857,0.223,0.524
858,0.153,0.524
859,0.242,0.524
860,0.353,0.524
861,0.378,0.524
862,0.42,0.488
863,0.373,0.425
864,0.25,0.514
865,0.199,0.524
866,0.211,0.524
867,0.32,0.524
868,0.359,0.524
869,0.303,0.524
870,0.389,0.524
871,0.405,0.433
872,0.228,0.5
873,0.154,0.524
874,0.302,0.524
875,0.438,0.524
876,0.334,0.455
877,0.096,0.524
878,0.041,0.524
879,0.21,0.524
880,0.279,0.524
881,0.178,0.524
882,0.05,0.524
883,-0.076,0.524
884,0.051,0.524
885,0.413,0.524
886,0.603,0.437
887,0.29,0.508
888,0.297,0.524
889,0.303,0.524
890,0.308,0.524
891,0.338,0.524
892,0.333,0.524
893,0.272,0.524
894,0.185,0.524
895,0.305,0.524
896,1.0,0.46
897,1.0,0.028
898,0.239,0.247
899,1.0,0.186
900,1.0,0.068
901,0.676,0.158
902,1.0,0.072
903,0.572,0.065
904,0.079,0.246
905,0.766,0.268
906,0.624,0.009
907,-0.325,0.524
908,0.055,0.524
909,0.401,0.524
910,0.566,0.469
911,0.497,0.36
912,0.479,0.34
913,0.54,0.306
914,0.086,0.042
915,0.038,0.524
916,1.0,0.046
917,1.0,0.004
918,0.0,-0.0
